index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
50806,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50812,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50818,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50821,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50826,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50828,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50829,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50831,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50832,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50833,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50841,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50854,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
